,,United Nations. General Assembly,,,,,,,"Maps, Outline and base.",,Rivers,Sand dunes,,,Education,Maps,Snowsheds,Power-plants,,,,,
,,African American students,,,,,,,Human geography,,Census,Historic sites,,,Towers,Barrier-free design,Cargo,Transportation,,,,,
,,Maps,,,,,,,Roads,,Water quality management,Grids (Cartography),,,Labor supply,Bridges,Shopping centers,Waste products,,,,,
,,Canadian provinces,,,,,,,Subways,,Cutthroat trout,Forests and forestry,,,"Fertility, Human Statistics",Jails,Labor supply,Groundwater,,,,,
,,Childbirth Statistics,,,,,,,"Cold Harbor, Battle of, Va., 1864",,Marine fisheries,Antiquities,,,Unesco,Radio beacons,Urban transportation,Military bases,,,,,
,,Ethnic groups,,,,,,,Capes (Coasts),,Drainage,School buildings,,,Boundaries,Racing,Oceanography,Insurance,,,,,
,,Family,,,,,,,Boulders,,Nautical charts,Radio telescopes,,,Television broadcasting,Railroad stations,Ferry terminals,Fire extinction,,,,,
,,Scholastic Aptitude Test,,,,,,,"Sherman, William T. (William Tecumseh), 1820-1891",,,Political Divisions,,,Census districts,Post office stations and branches,"Cook, James, 1728-1779.",Weirs,,,,,
,,Sewer districts,,,,,,,Maps,,,Counties,,,Rental Housing,Trees,Air bases,Publishers and publishing,,,,,
,,Taxation,,,,,,,Hull Yacht Club,,,Metropolitan areas,,,Vehicles,Quarries and quarrying,Anchorage,Human settlements,,,,,
,,Historic districts,,,,,,,Iron-works,,,Power-plants,,,Voting,Oil storage tanks,Boat ramps,Biotechnology industries,,,,,
,,Agriculture Statistics,,,,,,,Furnaces,,,Transportation,,,Population forecasting,Historic districts,Windmills,Flumes,,,,,
,,Hawaiians,,,,,,,Coast defenses,,,Industrial districts,,,Historic sites,Piers,Wharves,Buildings,,,,,
,,Population Statistics,,,,,,,Aeronautical charts,,,Rifle-ranges,,,High school dropouts,Population Statistics,Terminals (Transportation),Sewage disposal plants,,,,,
,,Water utilities,,,,,,,Juvenile delinquents,,,Military bases,,,Criminal Statistics,Church buildings,Hydrography,Administrative and political divisions,,,,,
,,Economic development,,,,,,,Discovery and exploration,,,Racetracks (Horse racing),,,Administrative and political boundaries,Chimneys,Elevated highways,Refuse collection,,,,,
,,Nomads,,,,,,,Industries,,,Caste,,,Campgrounds,Beacons,Marine terminals,Electric power transmission,,,,,
,,Shopping,,,,,,,Tundras,,,Universal transverse Mercator projection (Cartography),,,"Territory, National",Pipe,"Recycling (Waste, etc.)",Municipal engineering,,,,,
,,Syphilis,,,,,,,Vegetation,,,Postal zones,,,Antiquities,Military installations,Sidewalks,Urban runoff,,,,,
,,Telecommunications,,,,,,,Steel-works,,,Weirs,,,Unemployment,Ruins,Railroad Yards,Fisheries,,,,,
,,Citizenship,,,,,,,Water utilities,,,Latitude,,,Education Statistics,Tourism,Interchanges and intersections,Sanitation,,,,,
,,Gas companies,,,,,,,Scientific expeditions,,,Crosses,,,Economic statistics,Information technology parks,Aerial tramways,Canals,,,,,
,,Political divisions,,,,,,,Military installations,,,Chapels,,,Life expectancy,Industrial buildings,Parking lots,Floodplain management,,,,,
,,States,,,,,,,Gas companies,,,Universities,,,Counties,Radio and television towers,Transportation,Water treatment plants,,,,,
,,Telephone Area codes,,,,,,,Farms,,,Human settlements,,,Municipal government,Demography,Dirt roads,Municipal services,,,,,
,,Cities,,,,,,,Industrial buildings,,,Biotechnology industries,,,Households,Olympics,Military bases,Factories,,,,,
,,Demography,,,,,,,Geomagnetism,,,"Names, Geographical",,,Metropolitan areas,Breakwaters,Recreation facilities,Catchments,,,,,
,,Economic zones (Law of the sea),,,,,,,Botanical Gardens,,,Public institutions,,,Missions,Religious facilities,Airplanes,Sewage Sludge,,,,,
,,World Meteorological Organization,,,,,,,Dams,,,Buildings,,,Human beings Migrations,Dams,Racetracks (Horse racing),Telecommunication systems,,,,,
,,Dams,,,,,,,Colonization,,,Land settlement,,,Indian Reservations,Diversion structures (Hydraulic engineering),Freight,Oil wells,,,,,
,,Crime,,,,,,,Bicycle trails,,,Administrative and political divisions,,,Transportation,Petroleum industry and trade,Shipping,Springs,,,,,
,,Building Inspectors,,,,,,,Fortifications,,,Sports facilities,,,Food and Agriculture Organization of the United Nations,Railroad Stations,Weirs,Hydrology,,,,,
,,United States Congress,,,,,,,Street-railroads,,,Botanical gardens,,,Military bases,Mountain resorts,Universities and colleges,Cities and towns,,,,,
,,Sex Statistics,,,,,,,Parks,,,Water mills,,,"Migration, Internal",Chemical plants,Express highways,Penstocks,,,,,
,,Legislators,,,,,,,Mills and mill-work,,,Topographic maps,,,"Maps, Pictorial",Correctional institutions,Human settlements,Census,,,,,
,,Health status indicators,,,,,,,Extinct cities,,,Temples,,,Ethnic groups Statistics,Watchtowers,"Names, Geographical",Manholes,,,,,
,,Parks,,,,,,,Boundaries,,,Administrative divisions,,,Caste,Pumping stations,Public institutions,Water quality management,,,,,
,,Education,,,,,,,Census districts,,,"Camp sites, facilities, etc.",,,Hispanic American students,Marinas,Buildings,Petroleum pipelines,,,,,
,,Pedestrian areas,,,,,,,Bathymetric maps,,,Memorials,,,Housing statistics,Earthwork,Snow protection,,,,,,
,,Non-self-governing territories,,,,,,,"Map, Topographic",,,Shorelines,,,Yurts,Parks,Administrative and political divisions,,,,,,
,,Muncipal finance,,,,,,,"Cook, James, 1728-1779.",,,Cooling towers,,,Great Wall,Snowsheds,Sports facilities,,,,,,
,,Labor supply,,,,,,,Water districts,,,Index maps,,,Economic indicators,Education,Infrastructure,,,,,,
,,"Fertility, Human Statistics",,,,,,,Sand dunes,,,Central business districts,,,Publishers and publishing,Towers,Fortification,,,,,,
,,Unesco,,,,,,,Historic sites,,,Channels (Hydraulic engineering),,,Amusement parks,Shopping centers,Vettor Pisani (Ship),,,,,,
,,Boundaries,,,,,,,Public lands,,,Shopping malls,,,Universities,Research parks,"Camp sites, facilities, etc.",,,,,,
,,Census districts,,,,,,,Tax assessment,,,Fisheries,,,Human settlements,Wells,Hiking,,,,,,
,,Neighborhood planning,,,,,,,Buildingsr,,,Columns,,,Heating Statistics,Boundaries,Refuse collection,,,,,,
,,Mortality,,,,,,,Gold mines and mining,,,Tollhouses,,,High schools,Tanks,Central business districts,,,,,,
,,Rental Housing,,,,,,,Wharves,,,Estuaries,,,Buildings,Roofs,Cooling towers,,,,,,
,,Commercial real estate,,,,,,,Forests and forestry,,,Polders,,,Occupations,Rental Housing,Containerization,,,,,,
,,Vehicles,,,,,,,Antiquities,,,Arenas,,,Train stations,Amphitheaters,Terminals,,,,,,
,,Water districts,,,,,,,Hydrography,,,Mine shafts,,,Public institutions,Anchorage,Reefs,,,,,,
,,AIDS (Disease),,,,,,,Defenses,,,Sports,,,Administrative and political divisions,Vehicles,Coastal settlements,,,,,,
,,House of Representatives,,,,,,,Administrative and political division,,,Farm buildings,,,Occupations Statistics,Windmills,Trolley buses,,,,,,
,,Voting,,,,,,,Optical radar,,,Water treatment plants,,,Employment (Economic theory),Swimming pools,Canals,,,,,,
,,Administrative and political boundaries,,,,,,,Open spaces,,,Heliports,,,Temples,Boat ramps,Arenas,,,,,,
,,Public lands,,,,,,,Sherman's March through the Carolinas,,,Postal codes,,,Administrative divisions,Historic sites,Voyages and travels,,,,,,
,,Historic sites,,,,,,,Missions,,,Mosques,,,Educational tests and measurments,Refuse disposal facilities,Traffic surveys,,,,,,
,,Criminal Statistics,,,,,,,Sounding and soundings,,,Palaces,,,Dikes,Storage tanks,Bus lines,,,,,,
,,Population forecasting,,,,,,,Transportation,,,Cartography,,,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",Campgrounds,Factories,,,,,,
,,Tax assessment,,,,,,,"Prestonpans, Battle of, Prestonpans, Scotland, 1745",,,Poles (Engineering),,,Sports,Wharves,Traffic flow,,,,,,
,,High school dropouts,,,,,,,"Antietam, Battle of, Md., 1862",,,Schools,,,Consumers,Antiquities,Mosques,,,,,,
,,Minnesota,,,,,,,Military bases,,,Labels,,,Marketing,Terminals (Transportation),Trails,,,,,,
,,"Territory, National",,,,,,,Vegetation mapping,,,Historical markers,,,Trails,School buildings,Palaces,,,,,,
,,Substance abuse treatment,,,,,,,Gardens,,,Domes,,,Vidhan Sabha,Marine terminals,Electronic traffic controls,,,,,,
,,Unemployment,,,,,,,Orchards,,,Signs and signboards,,,Labor supply Statistics,Manufacturing Industries,Ports,,,,,,
,,Hydrography,,,,,,,"Maps, Pictorial",,,Coasts,,,International Atomic Energy Agency,Radio telescopes,Highway planning,,,,,,
,,Education Statistics,,,,,,,Water rights,,,Medical care,,,Schools,Servitudes,Median strips,,,,,,
,,"Recycling (Waste, etc.)",,,,,,,Groundwater,,,Lampposts,,,"Partition, Territorial",Ditches,"Railroads, Elevated",,,,,,
,,Economic statistics,,,,,,,"Insurance, Fire",,,Postal zone,,,Government,Counties,Coasts,,,,,,
,,Life expectancy,,,,,,,Sieges,,,Cities and towns,,,Iowa Test of Basic Skills,Aerial tramways,"United States History Revolution, 1775-1783",,,,,,
,,Administrative and political division,,,,,,,Ice,,,Health facilities,,,"Centennial Exhibition (1876 : Philadelphia, Pa.)",Households,Cities and towns,,,,,,
,,Counties,,,,,,,"Quebec Campaign, 1759",,,Cities and town,,,Medical care,Senior centers,Navigation,,,,,,
,,Municipal government,,,,,,,Garden Structures,,,Rivers,,,Cities and towns,Power-plants,Underwater tunnels,,,,,,
,,Political Divisions,,,,,,,"Siege, 1775-1776",,,Census,,,"Temples, Buddhist",Transportation,"Civil War, 1861-1865",,,,,,
,,Telecommunication,,,,,,,"Chiarini, G.",,,Dolmens,,,Welfare recipients,Industrial districts,Inland water transportation,,,,,,
,,Households,,,,,,,Rock slopes,,,Geographic positions,,,International agencies,Public shelters,Rivers,,,,,,
,,Metropolitan areas,,,,,,,Salt pans,,,Transportation Planning,,,Cities and town,Military bases,Tunnels,,,,,,
,,Human beings Migrations,,,,,,,Swamps,,,Retail trade,,,Census,Rifle-ranges,Census,,,,,,
,,Indian Reservations,,,,,,,Human settlements,,,Mounds,,,Land settlements patterns,Recreation facilities,Automobile parking,,,,,,
,,Judicial districts,,,,,,,Geological Survey (U.S.),,,Time Systems and standards,,,Multilingualism,Racetracks (Horse racing),Rail,,,,,,
,,Transportation,,,,,,,Ice industry,,,Post office buildings,,,Prisons,Family day care,Boats and boating,,,,,,
,,Mexican states,,,,,,,"Names, Geographical",,,,,,Vital statistics,"Insurance, Fire",Streets,,,,,,
,,Chlamydia infections,,,,,,,Cranberies,,,,,,Polling places,Weirs,Toll roads,,,,,,
,,"Migration, Internal",,,,,,,Buildings,,,,,,Purchasing power,Great Wall,Transportation Planning,,,,,,
,,Military bases,,,,,,,Slopes (Physical geography),,,,,,Child care services,Universities and colleges,Embankments,,,,,,
,,Family day care,,,,,,,Administrative and political divisions,,,,,,,Crosses,Nautical charts,,,,,,
,,Ethnic groups Statistics,,,,,,,Topographic maps,,,,,,,Amusement parks,,,,,,,
,,Caste,,,,,,,Fortification,,,,,,,Chapels,,,,,,,
,,Legislative bodies,,,,,,,Infrastructure,,,,,,,Universities,,,,,,,
,,Hispanic American students,,,,,,,"Siege, 1779-1783",,,,,,,Human settlements,,,,,,,
,,Housing statistics,,,,,,,Vettor Pisani (Ship),,,,,,,Biotechnology industries,,,,,,,
,,Food relief,,,,,,,Shorelines,,,,,,,Flumes,,,,,,,
,,Economic indicators,,,,,,,Ponds,,,,,,,Train stations,,,,,,,
,,Statistics,,,,,,,"Bunker Hill, Battle of, Boston, Mass., 1775",,,,,,,Public institutions,,,,,,,
,,Building laws,,,,,,,Channels (Hydraulic engineering),,,,,,,Buildings,,,,,,,
,,Countries,,,,,,,Coastal settlements,,,,,,,Snow protection,,,,,,,
,,Swamps,,,,,,,Boundary disputes,,,,,,,Sewage disposal plants,,,,,,,
,,Human settlements,,,,,,,Canals,,,,,,,Ramps (Walkways),,,,,,,
,,Biotechnology industries,,,,,,,Polders,,,,,,,Botanical gardens,,,,,,,
,,Heating Statistics,,,,,,,Estuaries,,,,,,,Sports facilities,,,,,,,
,,Mississippi,,,,,,,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",,,,,,,Administrative and political divisions,,,,,,,
,,Occupations,,,,,,,"Genghis Khan, 1162-1227",,,,,,,Water mills,,,,,,,
,,High schools,,,,,,,Voyages and travels,,,,,,,Fortification,,,,,,,
,,Lead poisoning in children,,,,,,,Northeast boundary of the United States,,,,,,,"Camp sites, facilities, etc.",,,,,,,
,,Forest reserves,,,,,,,Telegraph,,,,,,,Memorials,,,,,,,
,,Administrative and political divisions,,,,,,,Landowners,,,,,,,Ponds,,,,,,,
,,Occupations Statistics,,,,,,,Trade winds,,,,,,,Cooling towers,,,,,,,
,,Employment (Economic theory),,,,,,,Factories,,,,,,,Hedges,,,,,,,
,,Buildings,,,,,,,Trails,,,,,,,Channels (Hydraulic engineering),,,,,,,
,,Refuse collection,,,,,,,Cartography,,,,,,,Shopping malls,,,,,,,
,,Nature preserves,,,,,,,"United States--History--Revolution, 1775-1783",,,,,,,Sanitation,,,,,,,
,,Administrative divisions,,,,,,,Acquisition of territory,,,,,,,Fisheries,,,,,,,
,,Shorelines,,,,,,,Valleys,,,,,,,Dikes,,,,,,,
,,Educational tests and measurments,,,,,,,Mountain passes,,,,,,,Columns,,,,,,,
,,Condominium (International law),,,,,,,Labels,,,,,,,Tollhouses,,,,,,,
,,National parks and reserves,,,,,,,Caves,,,,,,,Farm buildings,,,,,,,
,,Boundary disputes,,,,,,,Mines,,,,,,,Mine shafts,,,,,,,
,,Reefs,,,,,,,Civic improvement,,,,,,,Arenas,,,,,,,
,,Municipal engineering,,,,,,,Trading posts,,,,,,,Sports,,,,,,,
,,Fisheries,,,,,,,Mines and mining,,,,,,,"Louisiana Purchase Exposition (1904 : Saint Louis, Mo.)",,,,,,,
,,Consumers,,,,,,,"Centennial Exhibition (1876 : Philadelphia, Pa.)",,,,,,,Water treatment plants,,,,,,,
,,Real Property,,,,,,,Coasts,,,,,,,Heliports,,,,,,,
,,Northeast boundary of the United States,,,,,,,Land grants,,,,,,,Landowners,,,,,,,
,,Marketing,,,,,,,Boroughs,,,,,,,Factories,,,,,,,
,,Municipal services,,,,,,,Archaeological site location,,,,,,,Mosques,,,,,,,
,,Payrolls,,,,,,,Cities and towns,,,,,,,Silos,,,,,,,
,,Postal codes,,,,,,,"United States History Revolution, 1775-1783",,,,,,,Palaces,,,,,,,
,,Trails,,,,,,,Atmospheric temperature,,,,,,,Horse racing,,,,,,,
,,Vidhan Sabha,,,,,,,Soils,,,,,,,Poles (Engineering),,,,,,,
,,Cartography,,,,,,,Oceans,,,,,,,Schools,,,,,,,
,,Labor supply Statistics,,,,,,,"Civil War, 1861-1865",,,,,,,Domes,,,,,,,
,,International Atomic Energy Agency,,,,,,,Earth surface,,,,,,,Oil wells,,,,,,,
,,Schools,,,,,,,Topographical surveying,,,,,,,Springs,,,,,,,
,,,,,,,,,Shipyards,,,,,,,Government,,,,,,,
,,Economic zoning,,,,,,,Underwater tunnels,,,,,,,Signs and signboards,,,,,,,
,,Gonorrhea,,,,,,,Parkways,,,,,,,"Centennial Exhibition (1876 : Philadelphia, Pa.)",,,,,,,
,,"Partition, Territorial",,,,,,,Rivers,,,,,,,Medical care,,,,,,,
,,County councils,,,,,,,Ocean currents,,,,,,,Lampposts,,,,,,,
,,Environment,,,,,,,Tunnels,,,,,,,Office buildings,,,,,,,
,,Iowa Test of Basic Skills,,,,,,,Census,,,,,,,Cities and towns,,,,,,,
,,Coasts,,,,,,,Glaciers,,,,,,,Navigation,,,,,,,
,,Office buildings,,,,,,,Prisons,,,,,,,Real estate management,,,,,,,
,,Boroughs,,,,,,,Cadastral maps,,,,,,,"Temples, Buddhist",,,,,,,
,,Cities and towns,,,,,,,"Spotsylvania Court House, Battle of, Va., 1864",,,,,,,Health facilities,,,,,,,
,,Soils,,,,,,,Streets,,,,,,,"Civil War, 1861-1865",,,,,,,
,,Real estate management,,,,,,,Poor laws,,,,,,,Rivers,,,,,,,
,,Welfare recipients,,,,,,,Aerial view,,,,,,,Commercial buildings,,,,,,,
,,Oceans,,,,,,,"Cecchi, Antonio, 1849-1896",,,,,,,Census,,,,,,,
,,Industrial real estate,,,,,,,"Austrian Succession, War of, 1740-1748",,,,,,,Dolmens,,,,,,,
,,Topographical surveying,,,,,,,Mounds,,,,,,,Prisons,,,,,,,
,,Land use planning,,,,,,,"Fort Sanders, Battle of, Knoxville, Tenn., 1863",,,,,,,Boats and boating,,,,,,,
,,International agencies,,,,,,,Nautical charts,,,,,,,Embankments,,,,,,,
,,Cities and town,,,,,,,,,,,,,,Retail trade,,,,,,,
,,Taxation rates,,,,,,,,,,,,,,Child care services,,,,,,,
,,Commercial buildings,,,,,,,,,,,,,,Noise barriers,,,,,,,
,,Census,,,,,,,,,,,,,,,,,,,,,
,,Multilingualism,,,,,,,,,,,,,,,,,,,,,
,,Prisons,,,,,,,,,,,,,,,,,,,,,
,,Vital statistics,,,,,,,,,,,,,,,,,,,,,
,,Natural areas,,,,,,,,,,,,,,,,,,,,,
,,Transportation Planning,,,,,,,,,,,,,,,,,,,,,
,,Poor laws,,,,,,,,,,,,,,,,,,,,,
,,Polling places,,,,,,,,,,,,,,,,,,,,,
,,Purchasing power,,,,,,,,,,,,,,,,,,,,,
,,Child care services,,,,,,,,,,,,,,,,,,,,,
